activity,AGO,ARE,ARG,AUS,BHS,BMU,BRA,BRB,CAN,CHL,CHN,COL,COM,CRI,CUB,CYM,CYP,DOM,DZA,ECU,EGY,ESP,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GRC,GRD,GUY,HKG,HND,HRV,HTI,IDN,IND,IRL,IRN,IRQ,ISR,ITA,JAM,JPN,KEN,KIR,KOR,KWT,LBN,LBR,LBY,LKA,MDG,MDV,MEX,MHL,MLT,MNE,MNP,MOZ,MUS,MYS,MYT,NCL,NGA,NIC,NOR,NZL,PAN,PER,PHL,PLW,PNG,PRT,RUS,SAU,SEN,SGP,SLB,SLE,SLV,SOM,SYC,THA,TON,TTO,TUN,TUR,TWN,TZA,URY,USA,VEN,VGB,VNM,VUT,WSM,YEM,ZAF
bathing,0.0,0.0,0.0,67.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,14.0,3.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0
diving,0.0,0.0,0.0,154.0,21.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,4.0,2.0,2.0,0.0,1.0,0.0,1.0,9.0,3.0,12.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,5.0,5.0,0.0,0.0,6.0,1.0,1.0,1.0,4.0,2.0,5.0,0.0,18.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,7.0,4.0,0.0,1.0,2.0,9.0,0.0,1.0,1.0,3.0,2.0,7.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,145.0,1.0,1.0,0.0,0.0,0.0,4.0,29.0
fishing,0.0,2.0,0.0,174.0,7.0,2.0,5.0,1.0,5.0,1.0,3.0,2.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,6.0,6.0,4.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,20.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,10.0,4.0,3.0,1.0,0.0,6.0,3.0,1.0,1.0,5.0,0.0,0.0,0.0,23.0,2.0,0.0,4.0,1.0,31.0,5.0,1.0,0.0,2.0,0.0,8.0,1.0,2.0,1.0,2.0,0.0,4.0,1.0,0.0,6.0,4.0,1.0,0.0,239.0,0.0,0.0,2.0,0.0,3.0,0.0,77.0
floating,0.0,0.0,1.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
kayaking,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
murder,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
paddling,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
playing,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
surfing,2.0,1.0,0.0,251.0,2.0,0.0,38.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,719.0,3.0,0.0,0.0,0.0,0.0,0.0,116.0
swimming,0.0,0.0,0.0,227.0,6.0,1.0,37.0,1.0,1.0,2.0,3.0,2.0,0.0,8.0,11.0,0.0,1.0,1.0,1.0,0.0,8.0,16.0,6.0,1.0,1.0,5.0,0.0,0.0,0.0,10.0,1.0,0.0,15.0,1.0,15.0,0.0,4.0,4.0,0.0,6.0,4.0,2.0,13.0,3.0,7.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,6.0,0.0,27.0,2.0,1.0,1.0,1.0,22.0,3.0,0.0,0.0,7.0,0.0,1.0,0.0,25.0,6.0,1.0,11.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,12.0,2.0,0.0,2.0,2.0,3.0,6.0,1.0,0.0,3.0,3.0,6.0,0.0,411.0,1.0,0.0,4.0,5.0,0.0,2.0,104.0
